Age
59
65
84
39
80
45
58
70
71
60
55
66
59
58
49
52
69
65
49
41
79
81
60
56
62
63
65
41
50
51
73
34
65
67
72
47
58
92
57
81
76
56
61
50
70
52
56
52
68
68
68
55
61
60
49
61
53
61
48
59
70
73
36
66
63
46
55
48
58
47
53
69
57
76
51
57
51
43
69
62
50
61
57
49
69
55
48
81
66
40
67
65
67
68
43
62
50
51
64
73
55
60
47
67
46
63
64
49
45
53
62
54
48
39
51
71
65
56
40
42
52
66
75
75
62
73
57
50
35
55
71
58
58
52
40
53
52
54
69
51
63
65
37
60
39
36
67
64
54
73
59
46
63
61
55
74
64
56
61
84
64
59
72
70
59
73
46
59
47
55
43
67
64
53
76
60
71
72
55
54
54
51
45
65
70
55
57
47
77
65
56
35
51
57
70
55
79
62
60
41
43
38
49
63
68
47
63
62
46
38
52
51
71
47
41
59
75
70
65
60
39
55
55
60
75
47
53
30
41
68
67
37
59
65
44
42
67
48
57
42
51
66
46
65
58
41
77
63
55
40
68
37
58
75
68
54
66
61
62
71
47
59
40
47
64
56
54
39
47
53
65
29
62
57
61
45
65
69
70
37
71
38
48
54
55
33
63
71
61
53
81
75
71
54
72
61
64
41
54
70
73
52
55
66
39
46
73
45
47
61
67
57
74
62
63
65
41
74
43
45
66
67
53
51
61
57
81
44
43
62
36
48
70
67
36
71
68
75
67
62
62
33
62
70
49
62
56
39
70
52
54
34
71
77
51
37
52
72
65
53
70
62
52
50
68
62
42
53
46
58
75
48
57
59
60
73
54
56
68
45
64
38
70
32
50
52
54
52
64
60
32
83
46
61
72
54
44
63
58
42
53
52
53
70
76
68
59
56
41
70
48
65
72
63
48
57
72
59
62
57
59
54
51
75
54
68
49
35
58
60
53
70
63
46
55
60
69
65
66
60
40
37
44
65
50
68
48
60
70
56
67
67
52
44
73
57
73
69
71
54
67
63
60
46
60
59
58
65
34
37
66
58
59
76
72
38
60
52
50
48
33
75
74
53
65
52
61
56
46
31
66
54
60
69
47
50
67
52
56
52
40
47
66
60
73
51
65
71
46
57
57
55
58
43
69
52
53
58
65
52
71
55
52
47
65
61
49
61
40
50
71
46
68
52
71
61
82
64
66
